mean,name,stdDev,time
81.1304353,I,10.51903441,1984
86.62453076,I_N,18.45924497,1984
80.55771747,I_S,14.26905532,1984
65.28206425,II,13.2764605,1984
74.6917351,II_N,17.06428601,1984
84.83231501,II_S,15.40244565,1984
29.37026699,III,12.58742149,1984
36.17426107,III_N,13.24295162,1984
44.34845481,III_S,17.35961142,1984
11.36024451,IV,3.697164305,1984
20.24230968,IV_N,5.883611239,1984
18.32097516,IV_S,4.438419841,1984
56.29835485,I,11.32151705,1985
65.03929129,I_N,15.48863499,1985
64.93070451,I_S,15.21967788,1985
39.19221951,II,9.80420275,1985
48.04583531,II_N,15.27560449,1985
57.08592296,II_S,10.31888817,1985
18.74226706,III,9.279050984,1985
25.13833848,III_N,9.125575963,1985
48.25864045,III_S,16.69102162,1985
7.714704022,IV,3.250010141,1985
19.61254889,IV_N,8.09447963,1985
22.13976932,IV_S,10.23847041,1985
57.45571291,I,9.401945394,1986
62.20549104,I_N,10.55187502,1986
60.05122352,I_S,12.69424278,1986
42.29739433,II,6.72459755,1986
48.66767338,II_N,9.108294388,1986
51.72625564,II_S,9.438762637,1986
25.53508923,III,5.616469511,1986
34.55540928,III_N,6.604055452,1986
32.68586003,III_S,6.370724239,1986
10.36575526,IV,2.127523521,1986
19.03972599,IV_N,4.931246719,1986
18.24240772,IV_S,4.367489138,1986
49.0646633,I,12.16375303,1987
63.49079871,I_N,14.82558555,1987
51.54926821,I_S,15.33341671,1987
28.11783175,II,7.622867526,1987
30.7169622,II_N,8.71206205,1987
42.17174987,II_S,7.965287328,1987
17.34586667,III,5.095027994,1987
27.01308304,III_N,5.493591567,1987
28.1514106,III_S,7.689398129,1987
10.0036751,IV,2.737175945,1987
21.21421206,IV_N,4.813609247,1987
17.88634881,IV_S,4.929189119,1987
66.55660529,I,7.150728235,1988
71.77741908,I_N,11.91588465,1988
70.0117575,I_S,14.89898111,1988
47.49513396,II,7.256215837,1988
55.35982979,II_N,10.99530607,1988
60.01385369,II_S,9.317922869,1988
29.80361534,III,5.707187402,1988
35.51574997,III_N,6.824145319,1988
39.20180014,III_S,7.367475358,1988
12.87564867,IV,2.616121665,1988
20.10321619,IV_N,4.447771762,1988
21.29545108,IV_S,4.28709246,1988
58.48346233,I,9.703311357,1989
59.73546761,I_N,9.39529304,1989
68.17277518,I_S,12.85405886,1989
31.65853179,II,7.687990238,1989
43.07374898,II_N,7.366666056,1989
57.52392028,II_S,9.405164851,1989
23.92406505,III,4.348875743,1989
34.59599101,III_N,4.441552654,1989
43.02205521,III_S,8.070978944,1989
12.62355213,IV,3.221395462,1989
23.02306471,IV_N,4.029754389,1989
